Date,Time,Error Type,Error Detail
2018-05-17,0622,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-05-17,1039,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-17,1051,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,1101,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,1107,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,1108,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,1114,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,1116,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,1127,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-17,1147,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-18,0951,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
