Date,Error Type,Error Detail
2018-09-23,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-09-25,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-25,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-25,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-25,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-26,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-09-26,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-27,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-28,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-09-29,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-29,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-09-30,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-10-02,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-10-03,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-10-05,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-10-05,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-10-05,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-10-05,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-10-08,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-10-09,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-10-11,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
